bs,active experts,cache ratio,CPU,RAM (GB),GPU,switch-large-128/Pre-gated/CPU,switch-large-128/DeepSpeed/CPU
1,0,0.01,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.38237,2.56471
1,0,0.03,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.38286,2.44821
1,0,0.05,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.3663,2.35908
1,0,0.1,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.33401,2.10017
1,0,0.2,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.27925,1.65216
