bs,active experts,cache ratio,CPU,RAM (GB),GPU,switch-large-128/Pre-gated/CPU,switch-large-128/DeepSpeed/CPU
1,0,0.01,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.3771,2.56748
1,0,0.03,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.41249,2.46575
1,0,0.05,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.35275,2.38659
1,0,0.1,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.38773,2.07664
1,0,0.2,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.34396,1.59061
