bs,active experts,cache ratio,CPU,RAM (GB),GPU,switch-large-128/Pre-gated/CPU,switch-large-128/DeepSpeed/CPU
1,0,0.01,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.0136719,0.0130208
1,0,0.03,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.0878906,0.0983073
1,0,0.05,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.182292,0.18099
1,0,0.1,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.40918,0.391602
1,0,0.2,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.802083,0.791341
