active experts,CPU,RAM (GB),GPU,switch-base-16/GPU-only,switch-base-32/GPU-only,switch-base-64/GPU-only,switch-base-128/GPU-only,switch-base-256/GPU-only,switch-large-128/GPU-only,switch-base-16/Pre-gated,switch-base-32/Pre-gated,switch-base-64/Pre-gated,switch-base-128/Pre-gated,switch-base-256/Pre-gated,switch-large-128/Pre-gated,switch-base-16/DeepSpeed,switch-base-32/DeepSpeed,switch-base-64/DeepSpeed,switch-base-128/DeepSpeed,switch-base-256/DeepSpeed,switch-large-128/DeepSpeed,switch-base-16/SE-MoE,switch-base-32/SE-MoE,switch-base-64/SE-MoE,switch-base-128/SE-MoE,switch-base-256/SE-MoE,switch-large-128/SE-MoE
1,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.931905,0.933216,0.933533,0.934915,0.937965,0,1.20791,1.15468,1.17517,1.2346,1.33328,1.55499,1.87655,1.82939,1.85044,1.87545,1.97771,2.79653,15.0918,27.5776,53.2674,106.679,204.433,184.4
2,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.932617,0.932277,0.936078,0.940539,0.936102,0,1.76154,1.81461,1.77362,1.85661,2.00102,2.96126,2.69919,2.64775,2.64706,2.72837,2.85935,4.2691,13.9699,26.6572,52.8244,104.95,214.43,186.555
4,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,0.935799,0.937157,0.93782,0.934428,0.935059,0,3.56748,3.48997,3.42212,3.75046,3.71858,5.85883,4.55269,4.44614,4.53591,4.38568,4.51213,7.3527,13.6329,26.3604,54.7419,104.955,211.758,181.082
8,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.08076,1.07669,1.07976,1.07604,1.0814,0,6.85125,6.72991,6.69429,7.19172,7.01475,11.9483,7.85051,7.73807,7.95185,7.9458,8.04782,13.1714,14.7624,29.7758,52.8813,104.748,206.705,206.627
16,AMD EPYC 7V12 64-Core Processor,1771,NVIDIA A100-SXM4-80GB,1.38372,1.38082,1.38474,1.38248,1.38842,0,13.3914,13.6168,13.7027,13.64,13.773,24.5189,14.3401,15.3712,14.6423,16.2531,14.6047,25.587,14.697,27.6869,54.3678,103.909,212.276,187.443
